p,n_steps,max_cc_pos,max_cc_neg
0.2,2.0,0.0,1.0
0.21250000000000002,2.0,0.0,1.0
0.225,2.0,0.0,1.0
0.23750000000000002,2.0,0.0,1.0
0.25,2.0,0.0,1.0
0.2625,2.0,0.0,1.0
0.275,2.0,0.0,1.0
0.2875,2.0,0.0,1.0
0.3,2.0,0.0,1.0
0.3125,2.0,0.0,1.0
0.325,2.0,0.0,1.0
0.3375,2.0,0.0,1.0
0.35,2.0,0.0,1.0
0.3625,2.01,0.0,1.0
0.375,2.02,0.0,1.0
0.38749999999999996,2.18,0.0,1.0
0.4,2.44,0.0,1.0
0.4125,2.96,0.0,1.0
0.425,3.0,0.0,1.0
0.4375,3.0,0.0,1.0
0.44999999999999996,3.0,0.0,1.0
0.46249999999999997,3.0,0.0,1.0
0.475,3.57,0.0,1.0
0.4875,4.39,0.0,1.0
0.5,5.74,0.47,0.53
0.5125,4.25,1.0,0.0
0.5249999999999999,3.49,1.0,0.0
0.5375,3.01,1.0,0.0
0.55,3.0,1.0,0.0
0.5625,3.0,1.0,0.0
0.575,2.99,1.0,0.0
0.5874999999999999,2.92,1.0,0.0
0.6,2.5,1.0,0.0
0.6125,2.16,1.0,0.0
0.625,2.02,1.0,0.0
0.6375,2.01,1.0,0.0
0.6499999999999999,2.0,1.0,0.0
0.6625,2.0,1.0,0.0
0.675,2.0,1.0,0.0
0.6875,2.0,1.0,0.0
0.7,2.0,1.0,0.0
