p,n_steps,max_cc_pos,second_max_cc_pos,final_pos
0.0,0.0,0.0,0.0,0.0
0.01,1.9,0.0,0.0,0.0
0.02,2.0,0.0,0.0,0.0
0.03,2.2,0.0,0.0,0.0
0.04,2.3,0.0,0.0,0.0
0.05,2.5,0.0,0.0,0.0
0.06,3.2,0.0,0.0,0.0
0.07,2.9,0.0,0.0,0.0
0.08,3.0,0.0,0.0,0.0
0.09,3.3,0.0,0.0,0.0
0.1,3.5,0.0,0.0,0.01
0.11,3.2,0.0,0.0,0.01
0.12,3.5,0.0,0.0,0.01
0.13,3.7,0.0,0.0,0.01
0.14,3.5,0.0,0.0,0.01
0.15,3.8,0.0,0.0,0.01
0.16,3.5,0.0,0.0,0.02
0.17,4.0,0.0,0.0,0.02
0.18,4.1,0.0,0.0,0.02
0.19,4.2,0.0,0.0,0.02
0.2,4.3,0.0,0.0,0.03
0.21,4.5,0.0,0.0,0.03
0.22,4.1,0.0,0.0,0.04
0.23,4.6,0.0,0.0,0.04
0.24,4.5,0.0,0.0,0.05
0.25,5.0,0.0,0.0,0.05
0.26,4.9,0.0,0.0,0.06
0.27,4.8,0.0,0.0,0.07
0.28,5.4,0.0,0.0,0.07
0.29,5.1,0.0,0.0,0.08
0.3,5.7,0.01,0.0,0.09
0.31,5.3,0.01,0.0,0.1
0.32,5.6,0.01,0.0,0.11
0.33,5.7,0.01,0.01,0.12
0.34,6.1,0.02,0.01,0.13
0.35000000000000003,5.7,0.03,0.01,0.14
0.36,5.7,0.06,0.0,0.16
0.37,5.9,0.07,0.01,0.17
0.38,6.2,0.1,0.0,0.19
0.39,5.9,0.13,0.0,0.21
0.4,6.2,0.16,0.0,0.23
0.41000000000000003,6.1,0.18,0.0,0.25
0.42,5.9,0.22,0.0,0.27
0.43,6.0,0.25,0.0,0.3
0.44,6.0,0.27,0.0,0.31
0.45,6.4,0.32,0.0,0.35
0.46,6.4,0.35,0.0,0.38
0.47000000000000003,6.6,0.38,0.0,0.4
0.48,6.9,0.42,0.0,0.43
0.49,8.5,0.45,0.0,0.46
0.5,7.6,0.5,0.0,0.5
0.51,7.4,0.54,0.0,0.54
0.52,7.0,0.57,0.0,0.57
0.53,6.8,0.6,0.0,0.6
0.54,6.4,0.63,0.0,0.63
0.55,6.0,0.65,0.0,0.65
0.56,6.2,0.67,0.0,0.67
0.5700000000000001,6.4,0.7,0.0,0.7
0.58,6.3,0.73,0.0,0.73
0.59,6.4,0.75,0.0,0.75
0.6,5.9,0.77,0.0,0.77
0.61,5.8,0.8,0.0,0.8
0.62,6.1,0.8,0.0,0.8
0.63,5.6,0.83,0.0,0.83
0.64,6.0,0.84,0.0,0.84
0.65,6.0,0.85,0.0,0.85
0.66,5.3,0.87,0.0,0.87
0.67,5.8,0.88,0.0,0.88
0.68,5.5,0.89,0.0,0.89
0.6900000000000001,5.0,0.9,0.0,0.9
0.7000000000000001,4.9,0.91,0.0,0.91
0.71,4.9,0.92,0.0,0.92
0.72,5.2,0.93,0.0,0.93
0.73,4.9,0.93,0.0,0.93
0.74,5.6,0.94,0.0,0.94
0.75,4.9,0.95,0.0,0.95
0.76,5.0,0.95,0.0,0.95
0.77,4.4,0.96,0.0,0.96
0.78,4.6,0.96,0.0,0.96
0.79,4.5,0.97,0.0,0.97
0.8,4.1,0.97,0.0,0.97
0.81,4.1,0.97,0.0,0.97
0.8200000000000001,4.4,0.98,0.0,0.98
0.8300000000000001,4.1,0.98,0.0,0.98
0.84,4.3,0.98,0.0,0.98
0.85,3.9,0.99,0.0,0.99
0.86,4.1,0.99,0.0,0.99
0.87,3.4,0.99,0.0,0.99
0.88,3.3,0.99,0.0,0.99
0.89,3.5,0.99,0.0,0.99
0.9,3.2,0.99,0.0,0.99
0.91,3.4,1.0,0.0,1.0
0.92,3.0,1.0,0.0,1.0
0.93,2.7,1.0,0.0,1.0
0.9400000000000001,2.6,1.0,0.0,1.0
0.9500000000000001,2.8,1.0,0.0,1.0
0.96,2.5,1.0,0.0,1.0
0.97,2.1,1.0,0.0,1.0
0.98,2.0,1.0,0.0,1.0
0.99,2.0,1.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0
