p,n_steps,max_cc_pos,max_cc_neg
0.2,8.04,0.0,0.95
0.21250000000000002,8.55,0.0,0.94
0.225,8.96,0.0,0.94
0.23750000000000002,9.48,0.0,0.93
0.25,9.98,0.0,0.93
0.2625,10.51,0.0,0.92
0.275,11.13,0.0,0.91
0.2875,11.36,0.0,0.9
0.3,12.03,0.01,0.89
0.3125,12.63,0.03,0.87
0.325,12.48,0.05,0.86
0.3375,12.53,0.07,0.84
0.35,12.17,0.1,0.82
0.3625,12.13,0.13,0.8
0.375,11.68,0.15,0.78
0.38749999999999996,10.84,0.18,0.75
0.4,9.99,0.21,0.72
0.4125,9.28,0.24,0.7
0.425,8.68,0.27,0.67
0.4375,8.1,0.31,0.64
0.44999999999999996,7.29,0.34,0.61
0.46249999999999997,6.88,0.37,0.57
0.475,6.49,0.4,0.54
0.4875,6.35,0.44,0.51
0.5,6.36,0.47,0.47
0.5125,106.42,0.51,0.44
0.5249999999999999,6.64,0.54,0.41
0.5375,6.93,0.57,0.37
0.55,7.34,0.6,0.34
0.5625,7.83,0.64,0.31
0.575,8.61,0.67,0.27
0.5874999999999999,8.82,0.7,0.24
0.6,9.95,0.73,0.21
0.6125,10.9,0.75,0.18
0.625,11.23,0.78,0.15
0.6375,12.1,0.8,0.13
0.6499999999999999,12.22,0.82,0.1
0.6625,12.57,0.84,0.07
0.675,12.44,0.86,0.05
0.6875,12.65,0.87,0.03
0.7,12.23,0.89,0.01
